,Dominant_Topic,Perc_Contribution,Topic_Keywords,Title,ID,Teacher_id
0,8,0.4104,"base, use, method, propose, system, result, paper, approach, feature, show",Comparison Between SVM and Back Propagation Neural Network in Building IDS,4,1
1,3,0.3526,"detection, detect, error, regression, automate, attack, identification, discover, kind, retrieval",Book cover Multimedia and Ubiquitous Engineering pp 1129–1136Cite as Anomaly Detection with Multinomial Logistic Regression and Naïve Bayesian,5,1
2,8,0.3188,"base, use, method, propose, system, result, paper, approach, feature, show",Intrusion detection under covariate shift using modified support vector machine and modified backpropagation,6,1
3,0,0.3984,"learn, dataset, machine, classification, learning, task, framework, similarity, class, label",A LSTM based framework for handling multiclass imbalance in DGA botnet detection,7,1
4,13,0.5356,"system, user, service, iot, resource, architecture, application, internet, item, represent",Pre-delivery of content to a user device,8,1
5,8,0.3429,"base, use, method, propose, system, result, paper, approach, feature, show",Lipid bilayer-coated curcumin-based mesoporous organosilica nanoparticles for cellular delivery,9,1
6,8,0.2355,"base, use, method, propose, system, result, paper, approach, feature, show",DGA botnet detection using supervised learning methods,10,1
7,8,0.2247,"base, use, method, propose, system, result, paper, approach, feature, show",A method for detecting DGA Botnet based on semantic and cluster analysis,11,1
8,8,0.2854,"base, use, method, propose, system, result, paper, approach, feature, show",DGA botnet detection using collaborative filtering and density-based clustering,12,1
9,15,0.505,"network, time, design, propose, high, control, low, dynamic, work, agent",Factors affecting employee engagement at not-for-profit organizations: A case in Vietnam,13,1
10,13,0.4718,"system, user, service, iot, resource, architecture, application, internet, item, represent",Playback of content pre-delivered to a user device,14,1
11,15,0.358,"network, time, design, propose, high, control, low, dynamic, work, agent",Improving the video transmission quality over IP network,15,1
12,13,0.369,"system, user, service, iot, resource, architecture, application, internet, item, represent",Content source discovery,16,1
13,4,0.2433,"word, step, aspect, collect, verify, store, verification, discuss, action, law",Labour provisions in preferential trade agreements: potential opportunities or challenges to Vietnam?,17,1
14,8,0.233,"base, use, method, propose, system, result, paper, approach, feature, show",SHIOT: A novel SDN-based framework for the heterogeneous Internet of Things,18,1
15,8,0.3185,"base, use, method, propose, system, result, paper, approach, feature, show",A novel SDN controller based on ontology and global optimization for heterogeneous IoT architecture,19,1
16,8,0.3466,"base, use, method, propose, system, result, paper, approach, feature, show",Does seller status matter in inter-corporate asset sales?,20,1
17,15,0.2953,"network, time, design, propose, high, control, low, dynamic, work, agent",End to end message encryption using Poly1305 and XSalsa20 in low power and lossy networks,23,1
18,8,0.2293,"base, use, method, propose, system, result, paper, approach, feature, show",Takeover pressure and corporate diversification,24,1
19,8,0.2126,"base, use, method, propose, system, result, paper, approach, feature, show",Supervisory Shopping in the Banking Sector: When Is It Socially Desirable?,25,1
20,13,0.5356,"system, user, service, iot, resource, architecture, application, internet, item, represent",Pre-delivery of content to a user device,26,1
21,15,0.1916,"network, time, design, propose, high, control, low, dynamic, work, agent",Analyzing Kleinberg's (and other) small-world models,27,5
22,8,0.2342,"base, use, method, propose, system, result, paper, approach, feature, show",Analyzing and characterizing small-world graphs,28,5
23,18,0.2762,"event, online, report, article, review, boundary, early, shape, load, subject",Distributed hole-bypassing protocol in WSNs with constant stretch and load balancing,29,5
24,9,0.3729,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",An energy efficient and load balanced distributed routing scheme for wireless sensor networks with holes,30,5
25,20,0.3392,"model, neural, deep, topic, material, suitable, storage, key, express, short",A multiplicative finite strain crystal plasticity formulation based on additive elastic corrector rates: Theory and numerical implementation,31,5
26,15,0.4084,"network, time, design, propose, high, control, low, dynamic, work, agent",Distributed shortcut networks: Low-latency low-degree non-random topologies targeting the diameter and cable length trade-off,32,5
27,8,0.4356,"base, use, method, propose, system, result, paper, approach, feature, show",Computational modeling of dislocation slip mechanisms in crystal plasticity: a short review,33,5
28,15,0.4161,"network, time, design, propose, high, control, low, dynamic, work, agent",Distributed shortcut networks: Layout-aware low-degree topologies exploiting small-world effect,34,5
29,9,0.3121,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Efficient approximation of routing holes in wireless sensor networks,35,5
30,3,0.3423,"detection, detect, error, regression, automate, attack, identification, discover, kind, retrieval",Synflood spoof source DDoS attack defence based on packet ID anomaly detection-PIDAD,36,5
31,18,0.3073,"event, online, report, article, review, boundary, early, shape, load, subject",A distributed protocol for detecting and updating hole boundary in wireless sensor networks,37,5
32,9,0.2445,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Load balanced routing with constant stretch for wireless sensor network with holes,38,5
33,8,0.2714,"base, use, method, propose, system, result, paper, approach, feature, show",Environment monitoring for anomaly detection system using smartphones,39,5
34,8,0.2505,"base, use, method, propose, system, result, paper, approach, feature, show",Road anomaly detection using smartphone: A brief analysis,40,5
35,15,0.3345,"network, time, design, propose, high, control, low, dynamic, work, agent",An interconnection network exploiting trade-off between routing table size and path length,41,5
36,15,0.4168,"network, time, design, propose, high, control, low, dynamic, work, agent",Designing low cost networks with short routes and low congestion,42,5
37,8,0.2279,"base, use, method, propose, system, result, paper, approach, feature, show","Small-world graphs: Models, analysis and applications in network designs",43,5
38,8,0.2178,"base, use, method, propose, system, result, paper, approach, feature, show",On the network orientational affinity assumption in polymers and the micro–macro connection through the chain stretch,44,5
39,15,0.3036,"network, time, design, propose, high, control, low, dynamic, work, agent",Energy-efficient routing in the proximity of a complicated hole in wireless sensor networks,45,5
40,8,0.274,"base, use, method, propose, system, result, paper, approach, feature, show",FDDA: a framework for fast detecting source attack in web application DDoS attack,46,5
41,8,0.6992,"base, use, method, propose, system, result, paper, approach, feature, show",A novel feature selection method based on normalized mutual information,48,9
42,15,0.366,"network, time, design, propose, high, control, low, dynamic, work, agent",Semi-Markov conditional random fields for accelerometer-based activity recognition,49,9
43,8,0.1789,"base, use, method, propose, system, result, paper, approach, feature, show",Formation of ionospheric irregularities over Southeast Asia during the 2015 St. Patrick's Day storm,50,9
44,8,0.5678,"base, use, method, propose, system, result, paper, approach, feature, show",An improved maximum relevance and minimum redundancy feature selection algorithm based on normalized mutual information,51,9
45,16,0.2372,"condition, density, positive, assume, get, modify, legal, investigation, region, negative",Analysis of the regional ionosphere at low latitudes in support of the biomass ESA mission,52,9
46,8,0.4046,"base, use, method, propose, system, result, paper, approach, feature, show",A novel residual frequency estimation method for GNSS receivers,53,9
47,21,0.3812,"datum, rule, case, process, application, domain, build, knowledge, property, perform",Visualizations of human activities in sensor-enabled ubiquitous environments,55,9
48,19,0.3522,"test, testing, recognition, video, database, extraction, computer, hand, embed, reliability",Video Based Human Activity Recognition using Wavelet Transform and Hidden Conditional Random Fields (HCRF),59,9
49,8,0.2762,"base, use, method, propose, system, result, paper, approach, feature, show",Detecting selective forwarding attacks in wireless sensor networks using two-hops neighbor knowledge,61,11
50,15,0.3588,"network, time, design, propose, high, control, low, dynamic, work, agent",A lightweight intrusion detection framework for wireless sensor networks,62,11
51,15,0.2141,"network, time, design, propose, high, control, low, dynamic, work, agent",Hybrid intrusion detection system for wireless sensor networks,63,11
52,15,0.3045,"network, time, design, propose, high, control, low, dynamic, work, agent",Optimal selection and activation of intrusion detection agents for wireless sensor networks,64,11
53,20,0.2406,"model, neural, deep, topic, material, suitable, storage, key, express, short",Enhanced group-based key management scheme for wireless sensor networks using deployment knowledge,65,11
54,13,0.2351,"system, user, service, iot, resource, architecture, application, internet, item, represent",Double-sided auctions applied to vertical handover for mobility management in wireless networks,66,11
55,21,0.3891,"datum, rule, case, process, application, domain, build, knowledge, property, perform",Inter‐domain pricing: challenges and possible approaches,67,11
56,8,0.6457,"base, use, method, propose, system, result, paper, approach, feature, show",The Practice of Cloud-based Navigation System for Indoor Robot,68,11
57,15,0.336,"network, time, design, propose, high, control, low, dynamic, work, agent",Minimizing the intrusion detection modules in wireless sensor networks,69,11
58,8,0.3526,"base, use, method, propose, system, result, paper, approach, feature, show",Network anomaly detection based on late fusion of several machine learning algorithms,70,11
59,8,0.4248,"base, use, method, propose, system, result, paper, approach, feature, show",Human extraction from a sequence of depth images using segmentation and foreground detection,71,11
60,15,0.2288,"network, time, design, propose, high, control, low, dynamic, work, agent",Combinatorial double-sided auctions for network bandwidth allocation: a budget-balanced and decentralized approach,72,11
61,8,0.577,"base, use, method, propose, system, result, paper, approach, feature, show",State-space modeling based on principal component analysis and oxygenated-deoxygenated correlation to improve near-infrared spectroscopy signals,73,11
62,15,0.3083,"network, time, design, propose, high, control, low, dynamic, work, agent",Architecture for IDS log processing using spark streaming,74,11
63,15,0.2746,"network, time, design, propose, high, control, low, dynamic, work, agent",A Pricing Model for Sharing Cloudlets in Mobile Cloud Computing,75,11
64,15,0.2536,"network, time, design, propose, high, control, low, dynamic, work, agent",A distributed auction-based algorithm to allocate bandwidth over paths,76,11
65,8,0.2769,"base, use, method, propose, system, result, paper, approach, feature, show",A Practical Comparison of Deep Learning Methods for Network Intrusion Detection,77,11
66,15,0.2361,"network, time, design, propose, high, control, low, dynamic, work, agent",Performance Evaluation of AODV and AOMDV Routing Protocols Under Collaborative Blackhole and Wormhole Attacks,78,11
67,15,0.5959,"network, time, design, propose, high, control, low, dynamic, work, agent",Impact of Vehicle Speed on Task Offloading of Vehicular Edge Computing,79,11
68,8,0.3477,"base, use, method, propose, system, result, paper, approach, feature, show",Vehicular Cloud Computing Considering the 802.11 p-based MAC protocol,80,11
69,15,0.2558,"network, time, design, propose, high, control, low, dynamic, work, agent",An extended SDN controller for handover in heterogeneous wireless network,87,15
70,15,0.2569,"network, time, design, propose, high, control, low, dynamic, work, agent",An SDN Approach for an Energy Efficient Heterogeneous Communication Network in Disaster Scenarios,88,15
71,15,0.3239,"network, time, design, propose, high, control, low, dynamic, work, agent",An energy-efficient mobile-controlled vertical handover management for real time services,89,15
72,7,0.2728,"multi, large, example, decision, structure, rate, constraint, flow, parallel, define",Investigating the performance of link aggregation on OpenFlow switches,90,15
73,15,0.3108,"network, time, design, propose, high, control, low, dynamic, work, agent",Feasibility of SDN-based vertical handover between bluetooth and Wi-Fi,91,15
74,15,0.3062,"network, time, design, propose, high, control, low, dynamic, work, agent",A self-adaptive and energy-efficient wireless multi-hop network,92,15
75,8,0.2831,"base, use, method, propose, system, result, paper, approach, feature, show",Experimental study on the performance of Linux Ethernet bonding,94,15
76,17,0.446,"language, speech, natural, movement, variation, build, public, voice, volume, processing",FFCDH: Solution to enable face-to-face conversation between deaf and hearing people,95,15
77,8,0.2642,"base, use, method, propose, system, result, paper, approach, feature, show",Visualization of spoken language for deaf people,96,15
78,15,0.4987,"network, time, design, propose, high, control, low, dynamic, work, agent",A Pure Network-Based Approach to Achieve Always Best Quality Video Streaming,97,15
79,21,0.2111,"datum, rule, case, process, application, domain, build, knowledge, property, perform",To verify the correctness of IoT sensor data in real-time,98,15
80,6,0.2152,"software, image, tool, program, component, object, depth, camera, interactive, illustrate",Qbf: A query broker framework for adaptable query evaluation,99,14
81,8,0.2388,"base, use, method, propose, system, result, paper, approach, feature, show",Towards a mediation system framework for transparent access to largely distributed sources,100,14
82,15,0.2336,"network, time, design, propose, high, control, low, dynamic, work, agent",Adaptable query evaluation using qbf,101,14
83,8,0.6723,"base, use, method, propose, system, result, paper, approach, feature, show",An ensemble system with random projection and dynamic ensemble selection,102,14
84,13,0.2831,"system, user, service, iot, resource, architecture, application, internet, item, represent",Multiple Peer Chord Rings Approach for Device Discovery in IoT Environment,103,14
85,8,0.2302,"base, use, method, propose, system, result, paper, approach, feature, show",Query Brokers for Distributed and Flexible Query Evaluation.,104,14
86,15,0.2638,"network, time, design, propose, high, control, low, dynamic, work, agent",A strategy to develop adaptive and interactive query brokers,106,14
87,15,0.3209,"network, time, design, propose, high, control, low, dynamic, work, agent",Improved cuckoo search and chaotic flower pollination optimization algorithm for maximizing area coverage in wireless sensor networks,109,17
88,13,0.2502,"system, user, service, iot, resource, architecture, application, internet, item, represent",Evolutionary algorithms to optimize task scheduling problem for the IoT based bag-of-tasks application in cloud–fog computing environment,110,17
89,9,0.3425,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",An efficient genetic algorithm for maximizing area coverage in wireless sensor networks,111,17
90,18,0.2917,"event, online, report, article, review, boundary, early, shape, load, subject",Biosynthesis of silver and gold nanoparticles using aqueous extract from Crinum latifolium leaf and their applications forward antibacterial effect and wastewater treatment,112,17
91,13,0.3547,"system, user, service, iot, resource, architecture, application, internet, item, represent",An evolutionary algorithm for solving task scheduling problem in cloud-fog computing environment,113,17
92,0,0.2636,"learn, dataset, machine, classification, learning, task, framework, similarity, class, label",Poisongan: Generative poisoning attacks against federated learning in edge computing systems,114,17
93,2,0.2872,"surface, temperature, degree, free, emission, trap, ground, bind, speak, primary",Kinetics of charge carrier recombination in  crystals,115,17
94,14,0.3522,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",New approach to solving the clustered shortest-path tree problem based on reducing the search space of evolutionary algorithm,116,17
95,9,0.3286,"sensor, network, node, path, protocol, routing, wireless, coverage, grid, route",Metaheuristics for maximization of obstacles constrained area coverage in heterogeneous wireless sensor networks,117,17
96,14,0.4727,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",Effective multifactorial evolutionary algorithm for solving the cluster shortest path tree problem,118,17
97,14,0.3739,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",An effective representation scheme in multifactorial evolutionary algorithm for solving cluster shortest-path tree problem,119,17
98,19,0.3159,"test, testing, recognition, video, database, extraction, computer, hand, embed, reliability",An efficient framework for pixel-wise building segmentation from aerial images,120,17
99,14,0.5206,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",An efficient strategy for using multifactorial optimization to solve the clustered shortest path tree problem,121,17
100,8,0.2669,"base, use, method, propose, system, result, paper, approach, feature, show",GAN-DP: Generative adversarial net driven differentially privacy-preserving big data publishing,122,17
101,8,0.2042,"base, use, method, propose, system, result, paper, approach, feature, show",Soft computing in wireless sensor networks,123,17
102,15,0.4078,"network, time, design, propose, high, control, low, dynamic, work, agent",Online load balancing for network functions virtualization,124,17
103,8,0.3062,"base, use, method, propose, system, result, paper, approach, feature, show",An improved genetic algorithm for maximizing area coverage in wireless sensor networks,125,17
104,14,0.3481,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",A survey on hybridizing genetic algorithm with dynamic programming for solving the traveling salesman problem,126,17
105,14,0.3519,"problem, algorithm, solution, search, solve, optimization, fault, cluster, tree, objective",A new hybrid genetic algorithm for solving the bounded diameter minimum spanning tree problem,127,17
106,8,0.2946,"base, use, method, propose, system, result, paper, approach, feature, show",Novel biogenic silver nanoparticles used for antibacterial effect and catalytic degradation of contaminants,128,17
107,8,0.3349,"base, use, method, propose, system, result, paper, approach, feature, show","Multi-task learning for smile detection, emotion recognition and gender classification",129,22
108,15,0.3147,"network, time, design, propose, high, control, low, dynamic, work, agent",Graphics processing unit optimizations for the dynamics of the HIRLAM weather forecast model,131,22
109,11,0.2713,"criterion, graph, phase, surveillance, maximum, extension, probability, swarm, cover, construction",Efficient maximum matching algorithms for trapezoid graphs,133,22
110,8,0.4743,"base, use, method, propose, system, result, paper, approach, feature, show",Real-space and plane-wave hybrid method for electronic structure calculations for two-dimensional materials,134,22
111,15,0.3023,"network, time, design, propose, high, control, low, dynamic, work, agent",Overlapping Communications With Calculations.,135,22
112,8,0.2586,"base, use, method, propose, system, result, paper, approach, feature, show",Theoretical Considerations on the Optimal Performance of Sub-100 Nanometer Top-Gated Graphene Field-Effect Transistors,138,22
113,15,0.3469,"network, time, design, propose, high, control, low, dynamic, work, agent",A router-aided hierarchical P2P traffic localization based on variable additional delay insertion,139,23
114,15,0.347,"network, time, design, propose, high, control, low, dynamic, work, agent",Correlating objective factors with video quality experienced by end users on P2PTV,140,23
115,13,0.3522,"system, user, service, iot, resource, architecture, application, internet, item, represent",QoE-driven bandwidth allocation method based on user characteristics,141,23
116,15,0.3283,"network, time, design, propose, high, control, low, dynamic, work, agent",A hierarchical P2P traffic localization method with bandwidth limitation,142,23
117,8,0.6204,"base, use, method, propose, system, result, paper, approach, feature, show",An evaluation of precise point positioning using QZSS LEX signal in Vietnam,143,23
118,8,0.472,"base, use, method, propose, system, result, paper, approach, feature, show",Improving retake detection by adding motion feature,144,23
