,id,title,abstract,teacher_id,Cluster_ID,Keyword
0,4,Comparison Between SVM and Back Propagation Neural Network in Building IDS,"Recently, applying the novel data mining techniques for anomaly detection-an element in Intrusion Detection System has received much research alternation. Support Vector Machine (SVM) and Back Propagation Neural (BPN) network has been applied successfully in many areas with excellent generalization results, such as rule extraction, classification and evaluation. In this paper, we use an approach that is entropy based analysis method to characterize some common types of attack like scanning attack. A model based on SVM with Gaussian RBF kernel is also proposed here for building anomaly detection system. BPN network is considered one of the simplest and most general methods used for supervised training of multilayered neural network. The comparative results show that with attack scenarios that we create and through the differences between the performance measures, we found that SVM gives higher precision and lower error rate than BPN method.",1,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
1,5,Book cover Multimedia and Ubiquitous Engineering pp 1129–1136Cite as Anomaly Detection with Multinomial Logistic Regression and Naïve Bayesian,"Intrusion Detection by automated means is gaining widespread interest due to the serious impact of Intrusions on computer system or network. Several techniques have been introduced in an effort to minimize up to some extent the risk associated with Intrusion attack. In this paper, we have used two novel Machine Learning techniques including Multinomial Logistic Regression and Naïve Bayesian in building Anomaly-based Intrusion Detection System (IDS). Also, we create our own dataset based on four attack scenarios including TCP flood, ICMP flood, UDP flood and Scan port. Then, we will test the system’s ability of detecting anomaly-based intrusion activities using these two methods. Furthermore we will make the comparison of classification performance between the Multinomial Logistic Regression and Naïve Bayesian.",1,1,based using model data search vietnamese optimization mobile system approach learning algorithm recognition problem path 
2,6,Intrusion detection under covariate shift using modified support vector machine and modified backpropagation,"In this paper, we address the dataset shift problem in building intrusion detection systems by assuming that network traffic variants follow the covariate shift model. Based on two recent works on direct density ratio estimation which are kernel mean matching and unconstrained least squares importance fitting, we propose to modify two well-known classification techniques: neural networks with back propagation and support vector machine in order to make these techniques work better under covariate shift effect. We evaluated the modified techniques on a benchmark intrusion detection dataset, the KDD Cup 1999, and got higher results on predication accuracy of network behaviors compared with the original techniques.",1,10,based using model vietnamese data search optimization algorithm system mobile problem routing recognition learning approach 
3,7,A LSTM based framework for handling multiclass imbalance in DGA botnet detection,"In recent years, botnets have become a major threat on the Internet. Most sophisticated bots use Domain Generation Algorithms (DGA) to pseudo-randomly generate a large number of domains and select a subset in order to communicate with Command and Control (C&C) server. The basic aim is to avoid blacklisting, sinkholing and evade the security systems. Long Short-Term Memory network (LSTM) provides a mean to combat this botnet type. It operates on raw domains and is amenable to immediate applications. LSTM is however prone to multiclass imbalance problem, which becomes even more significant in DGA malware detection. This is due the fact that many DGA classes have a very little support in the training dataset. This paper presents a novel LSTM.MI algorithm to combine both binary and multiclass classification models, where the original LSTM is adapted to be cost-sensitive. The cost items are …",1,10,based using model vietnamese data search optimization algorithm system mobile problem routing recognition learning approach 
4,8,Pre-delivery of content to a user device,"Systems and methods for delivering content to user devices before the content is selected or requested (eg, a pre-delivery of content) are described. In some embodiments, the system and methods receive, from a content server, information associated with content items available for retrieval from the content server and associated with one or more applications resident on a user device, select a subset of content items from the content items available for retrieval to deliver to the user device based on content usage information associated with the user device, and cause the user device to retrieve at least a portion of the selected subset of content items from the content server.",1,5,based using model vietnamese data search optimization mobile system recognition routing learning algorithm approach problem 
5,9,Lipid bilayer-coated curcumin-based mesoporous organosilica nanoparticles for cellular delivery,"Effective and controlled drug delivery systems with on-demand release abilities and biocompatible properties receive enormous attention for biomedical applications. Here, we describe a novel inorganic–organic hybrid material with a strikingly high organic content of almost 50 wt%. The colloidal periodic mesoporous organosilica (PMO) nanoparticles synthesized in this work consist entirely of curcumin and ethane derivatives serving as constituents that are crosslinked by siloxane bridges, without any added silica. These mesoporous curcumin nanoparticles (MCNs) exhibit very high surface areas (ca. 1000 m2/g), narrow particle size distribution (around 200 nm) and a strikingly high stability in simulated biological media. Additionally, the MCNs show high autofluorescence and were used as a cargo delivery system in live-cell experiments. A supported lipid bilayer (SLB) efficiently seals the pores and releases …",1,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
6,10,DGA botnet detection using supervised learning methods,"Modern botnets are based on Domain Generation Algorithms (DGAs) to build a resilient communication between bots and Command and Control (C&C) server. The basic aim is to avoid blacklisting and evade the Intrusion Protection Systems (IPS). Given the prevalence of this mechanism, numerous solutions have been developed in the literature. In particular, supervised learning has received an increased interest as it is able to operate on the raw domains and is amenable to real-time applications. Hidden Markov Model, C4. 5 decision tree, Extreme Learning Machine, Long Short-Term Memory networks have become the state of the art in DGA botnet detection. There also exist several advanced supervised learning methods, namely Support Vector Machine (SVM), Recurrent SVM, CNN+ LSTM and Bidirectional LSTM, which have not been suitably appropriated in such domain. This paper presents a first attempt …",1,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
7,11,A method for detecting DGA Botnet based on semantic and cluster analysis,"Botnets play major roles in a vast number of threats to network security, such as DDoS attacks, generation of spam emails, information theft. Detecting Botnets is a difficult task in due to the complexity and performance issues when analyzing the huge amount of data from real large-scale networks. In major Botnet malware, the use of Domain Generation Algorithms allows to decrease possibility to be detected using white list-blacklist scheme and thus DGA Botnets have higher survival. This paper proposes a DGA Botnet detection scheme based on DNS traffic analysis which utilizes semantic measures such as entropy, meaning the level of the domain, frequency of n-gram appearances and Mahalanobis distance for domain classification. The proposed method is an improvement of Phoenix botnet detection mechanism, where in the classification phase, the modified Mahalanobis distance is used instead of the …",1,13,based using model data vietnamese search optimization algorithm problem recognition routing system mobile approach learning 
8,12,DGA botnet detection using collaborative filtering and density-based clustering,"In recent years, the botnet phenomenon is one of the most dangerous threat to Internet security, which supports a wide range of criminal activities, including distributed denial of service (DDoS) attacks, click fraud, phishing, malware distribution, spam emails, etc. An increasing number of botnets use Domain Generation Algorithms (DGAs) to avoid detection and exclusion by the traditional methods. By dynamically and frequently generating a large number of random domain names for candidate command and control (C&C) server, botnet can be still survive even when a C&C server domain is identified and taken down. This paper presents a novel method to detect DGA botnets using Collaborative Filtering and Density-Based Clustering. We propose a combination of clustering and classification algorithm that relies on the similarity in characteristic distribution of domain names to remove noise and group similar …",1,0,based using model data vietnamese search optimization algorithm mobile routing problem system recognition learning approach 
9,13,Factors affecting employee engagement at not-for-profit organizations: A case in Vietnam,"The paper examines the determinants of employee engagement in the not-for-profit organization (NFPO) sector. A structured questionnaire survey of 205 NFPO employees in Vietnam was employed, preceded by in-depth interviews with NFPO associates and managers. After a multiple regression analysis to study the impact of five independent variables on one dependent variable, the study reveals that Work design and Work-life balance are positively and significantly associated with employee engagement. Of which, Work design is measured by the level of job fit, job autonomy, job challenge, and job meaningfulness. On the other hand, Work-life balance involves measurement aspects consisting of how reasonable the workload is and organizational support. Meanwhile, different from the business world, Leadership, Learning and Development, and Recognition do not show statistically positive impacts on employee engagement in NFPOs. Still, they are crucial back-supporting factors to ensure employee experience at work. Further, the study finds that personal growth contributes a great part to keep employees in the sector motivated. This paper brings the area of study to the forefront in an effort to benefit the practice of human resources management in NFPOs as well as support employees in the sector with a higher quality working experience.",1,11,based using model data vietnamese search optimization problem mobile routing recognition system algorithm approach multiple 
